date,Cumulative_solar_power,kWh electricity/day,Gas/day,
26/10/2011,0.1,15.10,9.00,
27/10/2011,10.2,7.40,9.20,
28/10/2011,20.2,5.80,8.00,
29/10/2011,29.6,4.90,6.60,
30/10/2011,34.2,11.70,5.30,
31/10/2011,38,11.00,5.70,
1/11/2011,46.6,3.50,5.30,
2/11/2011,51.6,10.50,5.40,
3/11/2011,58.6,6.90,7.60,
4/11/2011,60.5,10.30,5.50,
5/11/2011,65.7,12.00,5.20,
6/11/2011,71.8,11.90,4.80,
7/11/2011,73.3,16.70,5.30,
8/11/2011,73.8,11.10,7.30,
9/11/2011,76.1,13.00,8.30,
10/11/2011,82.5,7.60,7.20,
11/11/2011,89.1,8.90,10.50,
12/11/2011,95.5,12.90,10.20,
13/11/2011,99.9,10.70,10.70,
14/11/2011,101.4,10.20,9.90,
15/11/2011,109.1,7.20,11.40,
16/11/2011,116,9.40,13.60,
17/11/2011,122.3,10.10,16.10,
18/11/2011,124.3,14.60,12.80,
19/11/2011,130.5,8.40,10.30,
20/11/2011,136.5,12.20,12.60,
21/11/2011,142.5,17.70,12.80,
22/11/2011,145,11.50,13.40,
23/11/2011,148.3,13.50,11.90,
24/11/2011,149.8,13.00,9.70,
25/11/2011,151.7,17.80,12.60,
26/11/2011,152.4,16.90,11.30,
27/11/2011,156.1,12.60,12.60,
28/11/2011,157.4,14.50,12.50,
29/11/2011,163.9,9.10,10.70,
30/11/2011,165.3,17.00,13.40,
1/12/2011,170.7,9.90,11.00,
2/12/2011,172.1,16.90,10.60,
3/12/2011,174.7,14.10,14.40,
4/12/2011,175.3,18.70,12.70,
5/12/2011,176.3,15.60,10.70,
6/12/2011,178.8,8.50,15.00,
7/12/2011,180.5,16.00,15.70,
8/12/2011,182,13.90,15.40,
9/12/2011,183.6,15.60,15.40,
10/12/2011,188.4,11.50,15.20,
11/12/2011,192.6,14.40,15.40,
12/12/2011,195,12.00,15.50,
13/12/2011,197.8,13.70,14.20,
14/12/2011,199.1,15.20,13.70,
15/12/2011,200.1,19.50,16.20,
16/12/2011,201.6,14.10,15.80,
17/12/2011,201.8,17.00,17.30,
18/12/2011,205.4,17.00,17.80,
19/12/2011,209.7,16.60,16.00,
20/12/2011,211.6,15.50,20.10,
21/12/2011,214.4,12.40,14.40,
22/12/2011,215.3,17.50,14.20,
23/12/2011,216.2,18.40,12.90,
24/12/2011,217.4,14.30,11.10,
25/12/2011,219.7,10.90,12.40,
26/12/2011,220.3,14.20,14.10,
27/12/2011,220.7,14.60,11.50,
28/12/2011,221.2,17.00,11.40,
29/12/2011,221.7,9.30,12.70,
30/12/2011,222.6,15.30,15.40,
31/12/2011,226.2,11.50,15.20,
1/01/2012,226.7,16.00,13.60,
2/01/2012,227.5,18.80,10.60,
3/01/2012,230.4,15.50,11.70,
4/01/2012,231.2,19.30,19.30,
5/01/2012,233.9,6.90,10.60,
6/01/2012,235.5,16.10,14.90,
7/01/2012,236.5,14.90,15.40,
8/01/2012,240.6,15.10,14.60,
9/01/2012,245.8,13.20,13.50,
10/01/2012,246.8,10.90,11.80,
11/01/2012,248.3,11.10,11.10,
12/01/2012,249.9,13.60,11.40,
13/01/2012,251.3,14.80,14.00,
14/01/2012,254.7,13.10,13.50,
15/01/2012,258.1,13.60,14.70,
16/01/2012,263.5,7.70,16.00,
17/01/2012,269.4,10.90,16.60,
18/01/2012,274.8,7.30,18.30,
19/01/2012,276.5,15.70,17.30,
20/01/2012,277.3,18.30,17.10,
21/01/2012,278.1,15.50,14.50,
22/01/2012,278.9,19.70,14.70,
23/01/2012,282.8,12.30,15.50,
24/01/2012,286.1,10.50,13.60,
25/01/2012,288.2,15.30,15.80,
26/01/2012,289.6,11.70,13.50,
27/01/2012,290.7,16.70,14.70,
28/01/2012,297,7.70,13.70,
29/01/2012,300.3,18.10,15.60,
30/01/2012,301.6,17.40,17.90,
31/01/2012,301.8,16.00,21.80,
1/02/2012,307.4,8.90,19.20,
2/02/2012,315.8,7.80,25.00,
3/02/2012,324.3,7.60,28.00,
4/02/2012,326.6,13.50,28.00,
5/02/2012,334.2,15.80,26.00,
6/02/2012,339.8,9.80,26.00,
7/02/2012,348.4,7.60,25.00,
8/02/2012,355.7,11.10,29.00,
9/02/2012,363.6,9.00,25.00,
10/02/2012,367.3,13.60,24.00,
11/02/2012,376.9,8.10,27.00,
12/02/2012,383.3,16.40,27.00,
13/02/2012,385.9,18.00,25.00,
14/02/2012,388.9,13.00,20.00,
15/02/2012,393.6,11.00,16.00,
16/02/2012,396,15.00,16.00,
17/02/2012,399.6,15.00,15.00,
18/02/2012,404.8,11.00,16.00,
