Site;Time;TempOut [K];DewPt [K];WindSpeed [m/s];SolarRad [kJ/m²];P_gen [kW]
Maple Drive East;2013-11-25 19:00:00;279.75;276.75;0;0.0;
Maple Drive East;2013-11-25 20:00:00;279.95;276.85;0;0.0;
Maple Drive East;2013-11-25 21:00:00;279.55;276.65;0;0.0;
Maple Drive East;2013-11-25 22:00:00;279.35;276.65;0;0.0;
Maple Drive East;2013-11-25 23:00:00;278.95;276.25;0;0.0;
Maple Drive East;2013-11-26 00:00:00;277.15;275.35;0;0.0;
Maple Drive East;2013-11-26 01:00:00;276.75;275.05;0;0.0;
Maple Drive East;2013-11-26 02:00:00;276.15;274.65;0;0.0;
Maple Drive East;2013-11-26 03:00:00;277.05;275.45;0;0.0;
Maple Drive East;2013-11-26 04:00:00;277.75;275.75;0;0.0;
Maple Drive East;2013-11-26 05:00:00;278.15;276.05;0;0.0;
Maple Drive East;2013-11-26 06:00:00;277.95;275.65;0;0.0;
Maple Drive East;2013-11-26 07:00:00;277.85;275.55;0;0.0;
Maple Drive East;2013-11-26 08:00:00;276.95;274.85;0;5.4;
Maple Drive East;2013-11-26 09:00:00;276.45;274.85;0;50.4;
Maple Drive East;2013-11-26 10:00:00;278.15;275.65;0;149.4;
Maple Drive East;2013-11-26 11:00:00;279.75;276.15;0;185.4;
Maple Drive East;2013-11-26 12:00:00;280.95;276.45;0;154.8;
Maple Drive East;2013-11-26 13:00:00;281.45;276.65;0;187.2;
Maple Drive East;2013-11-26 14:00:00;281.65;276.85;0;144.0;
Maple Drive East;2013-11-26 15:00:00;280.25;276.25;0;59.4;
Maple Drive East;2013-11-26 16:00:00;279.55;276.15;0;28.8;
Maple Drive East;2013-11-26 17:00:00;279.35;276.45;0;0.0;
Maple Drive East;2013-11-26 18:00:00;278.55;276.25;0;0.0;
Maple Drive East;2013-11-26 19:00:00;278.55;276.25;0;0.0;
Maple Drive East;2013-11-26 20:00:00;278.85;276.35;0;0.0;
Maple Drive East;2013-11-26 21:00:00;278.95;276.45;0;0.0;
Maple Drive East;2013-11-26 22:00:00;279.05;276.55;0;0.0;
Maple Drive East;2013-11-26 23:00:00;278.85;276.25;0;0.0;
Maple Drive East;2013-11-27 00:00:00;278.75;276.45;0;0.0;
Maple Drive East;2013-11-27 01:00:00;278.75;276.65;0;0.0;
Maple Drive East;2013-11-27 02:00:00;278.85;276.95;0;0.0;
Maple Drive East;2013-11-27 03:00:00;278.85;277.05;0;0.0;
Maple Drive East;2013-11-27 04:00:00;278.95;277.15;0;0.0;
Maple Drive East;2013-11-27 05:00:00;278.95;277.35;0;0.0;
Maple Drive East;2013-11-27 06:00:00;279.05;277.65;0;0.0;
Maple Drive East;2013-11-27 07:00:00;278.95;277.95;0;0.0;
Maple Drive East;2013-11-27 08:00:00;279.05;278.05;0;0.0;
Maple Drive East;2013-11-27 09:00:00;279.65;278.55;0;7.2;
