Site;Time;TempOut [K];DewPt [K];WindSpeed [m/s];SolarRad [kJ/m²];P_gen [kW]
YMCA;2014-01-07 15:00:00;283.85;281.05;6;36.0;0.01
YMCA;2014-01-07 16:00:00;283.55;280.55;5;14.4;0.0
YMCA;2014-01-07 17:00:00;283.45;280.75;5;0.0;0.0
YMCA;2014-01-07 18:00:00;283.35;280.95;4;0.0;0.0
YMCA;2014-01-07 19:00:00;282.95;280.85;4;0.0;0.0
YMCA;2014-01-07 20:00:00;283.25;281.05;4;0.0;0.0
YMCA;2014-01-07 21:00:00;283.45;280.85;5;0.0;0.0
YMCA;2014-01-07 22:00:00;283.25;281.35;4;0.0;0.0
YMCA;2014-01-07 23:00:00;282.35;280.95;4;0.0;0.0
YMCA;2014-01-08 00:00:00;281.15;279.75;4;0.0;0.0
YMCA;2014-01-08 01:00:00;280.65;279.55;3;0.0;0.0
YMCA;2014-01-08 02:00:00;280.35;279.35;2;0.0;0.0
YMCA;2014-01-08 03:00:00;280.25;278.85;3;0.0;0.0
YMCA;2014-01-08 04:00:00;280.55;279.35;3;0.0;0.0
YMCA;2014-01-08 05:00:00;280.85;279.65;2;0.0;0.0
YMCA;2014-01-08 06:00:00;281.25;279.85;2;0.0;0.0
YMCA;2014-01-08 07:00:00;281.35;280.05;2;0.0;0.0
YMCA;2014-01-08 08:00:00;281.55;280.35;3;1.8;0.0
YMCA;2014-01-08 09:00:00;281.95;280.55;2;61.2;0.01
YMCA;2014-01-08 10:00:00;282.95;281.05;3;199.8;0.06
YMCA;2014-01-08 11:00:00;283.25;281.15;3;136.8;0.09
YMCA;2014-01-08 12:00:00;283.45;281.05;2;185.4;0.03
YMCA;2014-01-08 13:00:00;283.95;281.15;3;297.0;0.06
YMCA;2014-01-08 14:00:00;282.95;280.55;3;151.2;0.04
YMCA;2014-01-08 15:00:00;282.55;280.55;2;91.8;0.02
YMCA;2014-01-08 16:00:00;282.35;280.65;3;16.2;0.0
YMCA;2014-01-08 17:00:00;281.95;280.55;4;0.0;0.0
YMCA;2014-01-08 18:00:00;281.65;280.55;6;0.0;0.0
YMCA;2014-01-08 19:00:00;281.85;280.65;6;0.0;0.0
YMCA;2014-01-08 20:00:00;282.35;281.05;8;0.0;0.0
YMCA;2014-01-08 21:00:00;282.85;281.85;5;0.0;0.0
YMCA;2014-01-08 22:00:00;283.75;282.65;5;0.0;0.0
YMCA;2014-01-08 23:00:00;283.85;283.05;4;0.0;0.0
YMCA;2014-01-09 00:00:00;283.95;283.15;4;0.0;0.0
YMCA;2014-01-09 01:00:00;283.95;283.25;4;0.0;0.0
YMCA;2014-01-09 02:00:00;283.95;283.05;5;0.0;0.0
YMCA;2014-01-09 03:00:00;284.05;282.95;3;0.0;0.0
YMCA;2014-01-09 04:00:00;284.55;282.85;6;0.0;0.0
YMCA;2014-01-09 05:00:00;284.15;282.05;7;0.0;0.0
YMCA;2014-01-09 06:00:00;283.35;280.35;6;0.0;0.0
YMCA;2014-01-09 07:00:00;283.05;280.85;7;0.0;0.0
YMCA;2014-01-09 08:00:00;283.05;280.55;5;0.0;0.0
YMCA;2014-01-09 09:00:00;282.75;279.85;5;14.4;0.0
YMCA;2014-01-09 10:00:00;282.05;279.15;4;32.4;0.0
YMCA;2014-01-09 11:00:00;281.75;277.95;7;72.0;0.02
YMCA;2014-01-09 12:00:00;281.45;277.45;4;381.6;0.08
YMCA;2014-01-09 13:00:00;281.55;276.95;5;385.2;0.1
YMCA;2014-01-09 14:00:00;281.45;276.65;6;169.2;0.05
YMCA;2014-01-09 15:00:00;281.25;276.55;5;108.0;0.01
YMCA;2014-01-09 16:00:00;280.55;276.45;2;32.4;0.0
YMCA;2014-01-09 17:00:00;279.55;276.15;1;0.0;0.0
YMCA;2014-01-09 18:00:00;279.25;276.05;1;0.0;0.0
