SerialNo;Substation;datetime;P_gen [kW]
3067E69020456129;Forest Road;01.10.2013 12:00;2.14
3067E69020456129;Forest Road;01.10.2013 13:00;1.58
3067E69020456129;Forest Road;01.10.2013 14:00;1.4
3067E69020456129;Forest Road;01.10.2013 15:00;1.05
3067E69020456129;Forest Road;01.10.2013 16:00;0.38
3067E69020456129;Forest Road;01.10.2013 17:00;0.18
3067E69020456129;Forest Road;01.10.2013 18:00;0.04
3067E69020456129;Forest Road;01.10.2013 19:00;0
3067E69020456129;Forest Road;01.10.2013 20:00;0
3067E69020456129;Forest Road;01.10.2013 21:00;0
3067E69020456129;Forest Road;01.10.2013 22:00;0
3067E69020456129;Forest Road;01.10.2013 23:00;0
3067E69020456129;Forest Road;02.10.2013 00:00;0
3067E69020456129;Forest Road;02.10.2013 01:00;0
3067E69020456129;Forest Road;02.10.2013 02:00;0
3067E69020456129;Forest Road;02.10.2013 03:00;0
3067E69020456129;Forest Road;02.10.2013 04:00;0
3067E69020456129;Forest Road;02.10.2013 05:00;0
3067E69020456129;Forest Road;02.10.2013 06:00;0
3067E69020456129;Forest Road;02.10.2013 07:00;0
3067E69020456129;Forest Road;02.10.2013 08:00;0.03
3067E69020456129;Forest Road;02.10.2013 09:00;0.18
3067E69020456129;Forest Road;02.10.2013 10:00;0.37
3067E69020456129;Forest Road;02.10.2013 11:00;0.32
3067E69020456129;Forest Road;02.10.2013 12:00;0.22
3067E69020456129;Forest Road;02.10.2013 13:00;0.2
3067E69020456129;Forest Road;02.10.2013 14:00;0.21
3067E69020456129;Forest Road;02.10.2013 15:00;0.15
3067E69020456129;Forest Road;02.10.2013 16:00;0.08
3067E69020456129;Forest Road;02.10.2013 17:00;0.13
3067E69020456129;Forest Road;02.10.2013 18:00;0.02
3067E69020456129;Forest Road;02.10.2013 19:00;0
3067E69020456129;Forest Road;02.10.2013 20:00;0
3067E69020456129;Forest Road;02.10.2013 21:00;0
3067E69020456129;Forest Road;02.10.2013 22:00;0
3067E69020456129;Forest Road;02.10.2013 23:00;0
3067E69020456129;Forest Road;03.10.2013 00:00;0
3067E69020456129;Forest Road;03.10.2013 01:00;0
3067E69020456129;Forest Road;03.10.2013 02:00;0
3067E69020456129;Forest Road;03.10.2013 03:00;0
3067E69020456129;Forest Road;03.10.2013 04:00;0
3067E69020456129;Forest Road;03.10.2013 05:00;0
3067E69020456129;Forest Road;03.10.2013 06:00;0
3067E69020456129;Forest Road;03.10.2013 07:00;0.06
3067E69020456129;Forest Road;03.10.2013 08:00;0.39
3067E69020456129;Forest Road;03.10.2013 09:00;0.72
3067E69020456129;Forest Road;03.10.2013 10:00;0.84
3067E69020456129;Forest Road;03.10.2013 11:00;1.06
3067E69020456129;Forest Road;03.10.2013 12:00;1.25
3067E69020456129;Forest Road;03.10.2013 13:00;0.3
3067E69020456129;Forest Road;03.10.2013 14:00;0.1
3067E69020456129;Forest Road;03.10.2013 15:00;0.23
3067E69020456129;Forest Road;03.10.2013 16:00;0.26
3067E69020456129;Forest Road;03.10.2013 17:00;0.23
3067E69020456129;Forest Road;03.10.2013 18:00;0.02
3067E69020456129;Forest Road;03.10.2013 19:00;0
3067E69020456129;Forest Road;03.10.2013 20:00;0
3067E69020456129;Forest Road;03.10.2013 21:00;0
3067E69020456129;Forest Road;03.10.2013 22:00;0
3067E69020456129;Forest Road;03.10.2013 23:00;0
3067E69020456129;Forest Road;04.10.2013 00:00;0
3067E69020456129;Forest Road;04.10.2013 01:00;0
3067E69020456129;Forest Road;04.10.2013 02:00;0
3067E69020456129;Forest Road;04.10.2013 03:00;0
3067E69020456129;Forest Road;04.10.2013 04:00;0
3067E69020456129;Forest Road;04.10.2013 05:00;0
3067E69020456129;Forest Road;04.10.2013 06:00;0
3067E69020456129;Forest Road;04.10.2013 07:00;0.03
3067E69020456129;Forest Road;04.10.2013 08:00;0.09
3067E69020456129;Forest Road;04.10.2013 09:00;0.31
3067E69020456129;Forest Road;04.10.2013 10:00;0.64
3067E69020456129;Forest Road;04.10.2013 11:00;0.73
3067E69020456129;Forest Road;04.10.2013 12:00;1.25
3067E69020456129;Forest Road;04.10.2013 13:00;1
3067E69020456129;Forest Road;04.10.2013 14:00;0.98
3067E69020456129;Forest Road;04.10.2013 15:00;0.81
3067E69020456129;Forest Road;04.10.2013 16:00;0.28
3067E69020456129;Forest Road;04.10.2013 17:00;0.2
3067E69020456129;Forest Road;04.10.2013 18:00;0.05
3067E69020456129;Forest Road;04.10.2013 19:00;0
3067E69020456129;Forest Road;04.10.2013 20:00;0
3067E69020456129;Forest Road;04.10.2013 21:00;0
3067E69020456129;Forest Road;04.10.2013 22:00;0
3067E69020456129;Forest Road;04.10.2013 23:00;0
3067E69020456129;Forest Road;05.10.2013 00:00;0
3067E69020456129;Forest Road;05.10.2013 01:00;0
3067E69020456129;Forest Road;05.10.2013 02:00;0
3067E69020456129;Forest Road;05.10.2013 03:00;0
3067E69020456129;Forest Road;05.10.2013 04:00;0
3067E69020456129;Forest Road;05.10.2013 05:00;0
3067E69020456129;Forest Road;05.10.2013 06:00;0
3067E69020456129;Forest Road;05.10.2013 07:00;0.02
3067E69020456129;Forest Road;05.10.2013 08:00;0.25
3067E69020456129;Forest Road;05.10.2013 09:00;0.55
3067E69020456129;Forest Road;05.10.2013 10:00;0.74
3067E69020456129;Forest Road;05.10.2013 11:00;0.95
3067E69020456129;Forest Road;05.10.2013 12:00;0.76
3067E69020456129;Forest Road;05.10.2013 13:00;0.5
3067E69020456129;Forest Road;05.10.2013 14:00;0.27
3067E69020456129;Forest Road;05.10.2013 15:00;0.35
3067E69020456129;Forest Road;05.10.2013 16:00;0.2
3067E69020456129;Forest Road;05.10.2013 17:00;0.07
3067E69020456129;Forest Road;05.10.2013 18:00;0
3067E69020456129;Forest Road;05.10.2013 19:00;0
3067E69020456129;Forest Road;05.10.2013 20:00;0
3067E69020456129;Forest Road;05.10.2013 21:00;0
3067E69020456129;Forest Road;05.10.2013 22:00;0
3067E69020456129;Forest Road;05.10.2013 23:00;0
3067E69020456129;Forest Road;06.10.2013 00:00;0
3067E69020456129;Forest Road;06.10.2013 01:00;0
3067E69020456129;Forest Road;06.10.2013 02:00;0
3067E69020456129;Forest Road;06.10.2013 03:00;0
3067E69020456129;Forest Road;06.10.2013 04:00;0
3067E69020456129;Forest Road;06.10.2013 05:00;0
3067E69020456129;Forest Road;06.10.2013 06:00;0
3067E69020456129;Forest Road;06.10.2013 07:00;0.03
3067E69020456129;Forest Road;06.10.2013 08:00;0.3
3067E69020456129;Forest Road;06.10.2013 09:00;0.86
3067E69020456129;Forest Road;06.10.2013 10:00;1.45
3067E69020456129;Forest Road;06.10.2013 11:00;1.93
3067E69020456129;Forest Road;06.10.2013 12:00;1.38
3067E69020456129;Forest Road;06.10.2013 13:00;2.03
3067E69020456129;Forest Road;06.10.2013 14:00;1.08
3067E69020456129;Forest Road;06.10.2013 15:00;0.98
3067E69020456129;Forest Road;06.10.2013 16:00;0.32
3067E69020456129;Forest Road;06.10.2013 18:00;0.02
3067E69020456129;Forest Road;06.10.2013 19:00;0
3067E69020456129;Forest Road;06.10.2013 20:00;0
3067E69020456129;Forest Road;06.10.2013 21:00;0
3067E69020456129;Forest Road;06.10.2013 22:00;0
3067E69020456129;Forest Road;06.10.2013 23:00;0
3067E69020456129;Forest Road;07.10.2013 00:00;0
3067E69020456129;Forest Road;07.10.2013 01:00;0
3067E69020456129;Forest Road;07.10.2013 02:00;0
3067E69020456129;Forest Road;07.10.2013 03:00;0
3067E69020456129;Forest Road;07.10.2013 04:00;0
3067E69020456129;Forest Road;07.10.2013 06:00;0
3067E69020456129;Forest Road;07.10.2013 07:00;0.04
3067E69020456129;Forest Road;07.10.2013 08:00;0.34
3067E69020456129;Forest Road;07.10.2013 09:00;0.5
3067E69020456129;Forest Road;07.10.2013 10:00;0.65
3067E69020456129;Forest Road;07.10.2013 11:00;0.62
3067E69020456129;Forest Road;07.10.2013 12:00;0.55
3067E69020456129;Forest Road;07.10.2013 13:00;0.68
3067E69020456129;Forest Road;07.10.2013 14:00;0.87
3067E69020456129;Forest Road;07.10.2013 15:00;0.88
3067E69020456129;Forest Road;07.10.2013 16:00;0.22
3067E69020456129;Forest Road;07.10.2013 17:00;0.1
3067E69020456129;Forest Road;07.10.2013 18:00;0.01
3067E69020456129;Forest Road;07.10.2013 19:00;0
3067E69020456129;Forest Road;07.10.2013 20:00;0
