Site;Date;Hour;TempOut [K];DewPt [K];WindSpeed [m/s];SolarRad [kJ/m²]
YMCA;07.01.2014;3:00 PM;283.85;281.05;6;36
YMCA;07.01.2014;4:00 PM;283.55;280.55;5;14.4
YMCA;07.01.2014;5:00 PM;283.45;280.75;5;0
YMCA;07.01.2014;6:00 PM;283.35;280.95;4;0
YMCA;07.01.2014;7:00 PM;282.95;280.85;4;0
YMCA;07.01.2014;8:00 PM;283.25;281.05;4;0
YMCA;07.01.2014;9:00 PM;283.45;280.85;5;0
YMCA;07.01.2014;10:00 PM;283.25;281.35;4;0
YMCA;07.01.2014;11:00 PM;282.35;280.95;4;0
YMCA;08.01.2014;12:00 AM;281.15;279.75;4;0
YMCA;08.01.2014;1:00 AM;280.65;279.55;3;0
YMCA;08.01.2014;2:00 AM;280.35;279.35;2;0
YMCA;08.01.2014;3:00 AM;280.25;278.85;3;0
YMCA;08.01.2014;4:00 AM;280.55;279.35;3;0
YMCA;08.01.2014;5:00 AM;280.85;279.65;2;0
YMCA;08.01.2014;6:00 AM;281.25;279.85;2;0
YMCA;08.01.2014;7:00 AM;281.35;280.05;2;0
YMCA;08.01.2014;8:00 AM;281.55;280.35;3;1.8
YMCA;08.01.2014;9:00 AM;281.95;280.55;2;61.2
YMCA;08.01.2014;10:00 AM;282.95;281.05;3;199.8
YMCA;08.01.2014;11:00 AM;283.25;281.15;3;136.8
YMCA;08.01.2014;12:00 PM;283.45;281.05;2;185.4
YMCA;08.01.2014;1:00 PM;283.95;281.15;3;297
YMCA;08.01.2014;2:00 PM;282.95;280.55;3;151.2
YMCA;08.01.2014;3:00 PM;282.55;280.55;2;91.8
YMCA;08.01.2014;4:00 PM;282.35;280.65;3;16.2
YMCA;08.01.2014;5:00 PM;281.95;280.55;4;0
YMCA;08.01.2014;6:00 PM;281.65;280.55;6;0
YMCA;08.01.2014;7:00 PM;281.85;280.65;6;0
YMCA;08.01.2014;8:00 PM;282.35;281.05;8;0
YMCA;08.01.2014;9:00 PM;282.85;281.85;5;0
YMCA;08.01.2014;10:00 PM;283.75;282.65;5;0
YMCA;08.01.2014;11:00 PM;283.85;283.05;4;0
YMCA;09.01.2014;12:00 AM;283.95;283.15;4;0
YMCA;09.01.2014;1:00 AM;283.95;283.25;4;0
YMCA;09.01.2014;2:00 AM;283.95;283.05;5;0
YMCA;09.01.2014;3:00 AM;284.05;282.95;3;0
YMCA;09.01.2014;4:00 AM;284.55;282.85;6;0
YMCA;09.01.2014;5:00 AM;284.15;282.05;7;0
YMCA;09.01.2014;6:00 AM;283.35;280.35;6;0
YMCA;09.01.2014;7:00 AM;283.05;280.85;7;0
YMCA;09.01.2014;8:00 AM;283.05;280.55;5;0
YMCA;09.01.2014;9:00 AM;282.75;279.85;5;14.4
