Date,AT,WS,RH,BP,SR,Energy
01-11-2019,26.63,0.57,64.46,704.29,160.61,586
02-11-2019,26.18,0.69,73.2,705.52,147.94,243
03-11-2019,26.01,0.93,70.77,706.72,143.19,464
04-11-2019,26.56,0.58,62.06,706.69,170.26,583
05-11-2019,26.97,0.59,60.59,704.56,161.77,617
06-11-2019,26.5,0.59,54.55,702.33,169.23,636
07-11-2019,25.44,1.15,70.64,701.85,161.03,591
08-11-2019,24.96,0.95,74.78,703.4,139.9,507
09-11-2019,25.46,0.94,57.22,704.6,162.02,593
10-11-2019,24.83,0.89,59.33,705.35,161.86,587
11-11-2019,25.19,0.6,55.71,704.78,169.32,635
12-11-2019,25.35,0.64,57.62,705.7,165.42,602
13-11-2019,25.27,0.65,55.42,707.17,166.53,620
14-11-2019,24.89,0.73,52.94,707.31,163.29,616
15-11-2019,24.37,0.59,51.18,706.61,162.06,609
16-11-2019,24.43,0.56,48.14,706.55,158.91,595
17-11-2019,24.14,1.02,51.26,707.6,168.04,583
18-11-2019,23.95,0.8,50.86,707.16,162.36,651
19-11-2019,24.25,0.68,49.1,706.09,163.9,446
20-11-2019,23.08,0.61,53.6,705.89,137.21,555
21-11-2019,23.04,0.53,60.76,707.14,154.41,716
22-11-2019,23.64,0.57,60.34,707.78,158.08,709
23-11-2019,24.13,0.62,58.29,707.51,148.64,662
24-11-2019,24.45,0.61,53.51,706.79,155.28,683
25-11-2019,24.16,0.64,54.81,706.57,145.1,623
26-11-2019,23.85,0.6,55.5,706.08,160.9,706
27-11-2019,24.46,0.52,56.96,705.97,145.75,685
28-11-2019,24.44,0.59,54.3,706.18,149.19,686
29-11-2019,24.28,0.62,55.25,706.38,137.27,663
30-11-2019,23.68,0.67,59.58,706.72,148.84,666
01-12-2019,23.41,0.67,62.61,706.74,148.67,112
02-12-2019,23.72,1.07,64.6,707.3,147.71,113
03-12-2019,21.99,0.94,61.1,708.08,138.68,114
04-12-2019,21.85,0.73,47.56,709.07,147.66,115
05-12-2019,20.91,0.9,43.01,710.35,121.81,116
06-12-2019,20.25,1.05,45.67,709.75,140.94,117
07-12-2019,20.47,0.91,51.8,708.61,127.03,118
08-12-2019,20.7,0.99,57.71,708.52,145.68,119
09-12-2019,21.17,0.77,61.19,708.05,139.91,120
10-12-2019,20.85,0.54,64.78,706.13,140.83,121
11-12-2019,21.84,0.56,62.12,704.36,133.78,122
12-12-2019,21.32,1.07,70.66,702.95,150.27,123
13-12-2019,21.32,0.84,77,704.93,159.08,124
14-12-2019,19.89,1.26,79.12,708.36,131.45,125
15-12-2019,17.74,1.18,82.72,708.53,112.9,126
16-12-2019,16.36,1.07,79.47,708.92,121.66,127
17-12-2019,14.62,1.26,79.6,710.23,156.17,128
18-12-2019,16.14,0.79,70.52,709.66,154.24,129
19-12-2019,18.13,0.62,67.36,707.99,155.98,130
20-12-2019,19.25,0.5,69.7,706.36,144.23,131
21-12-2019,20.71,0.66,62.48,706.48,159.35,132
22-12-2019,19.46,1.03,59.89,707.62,146.07,133
23-12-2019,19.64,0.71,56.94,706.89,149.5,134
24-12-2019,19.34,0.89,68.23,706.79,135.99,135
25-12-2019,17.79,1.32,82.14,706.91,146.8,136
26-12-2019,17.05,1.23,60.43,707.17,146.33,137
27-12-2019,15.9,1.06,45.6,707.93,142.68,138
28-12-2019,15.55,0.86,48.96,708.14,154.53,139
29-12-2019,15.43,0.74,54.28,708,140.38,140
30-12-2019,16.12,0.88,57.35,706.71,148.7,141
31-12-2019,15.68,0.78,69.7,706.88,125.28,142
01-01-2020,16.34,0.91,79.76,707.69,122,413
02-01-2020,17.49,0.99,84.62,708.45,117.95,414
03-01-2020,17.64,1.04,80.58,707.89,135.14,415
04-01-2020,15.13,1.23,82.28,707.7,148.15,416
05-01-2020,16.52,1.05,70.96,708.75,141.8,417
06-01-2020,17.86,0.66,58.51,709.09,140.46,418
07-01-2020,20.19,0.73,60.42,706.36,151.28,419
08-01-2020,20.73,1.2,74.47,703.93,137.89,420
09-01-2020,15.29,1.41,66.55,708.58,152.48,421
10-01-2020,13.34,1.22,62.69,709.73,162.58,422
11-01-2020,15.57,0.79,55.97,709.45,148.66,423
12-01-2020,18.22,0.56,51.7,707.34,151.75,424
13-01-2020,20.68,0.61,58.31,704.04,151.46,425
14-01-2020,20.62,0.79,80.35,704.64,134.31,426
15-01-2020,19.97,0.86,81.55,704.59,144.44,427
16-01-2020,17.97,0.85,86.8,704.23,69.19,428
17-01-2020,17.03,1.14,73.64,706.81,169.33,429
18-01-2020,15.39,1.47,82.09,707.61,156.89,430
19-01-2020,14.77,1.34,74.57,708.84,142.22,431
20-01-2020,16.38,0.64,63.32,708.19,166.55,432
21-01-2020,19.45,0.87,68.33,707.42,168.93,433
22-01-2020,18.69,1.45,77.17,708.98,150.44,434
23-01-2020,17.32,1.32,61.31,709.96,170.72,435
24-01-2020,18.17,0.83,55.31,708.27,175.45,436
25-01-2020,18.85,0.61,57.02,707.23,159.48,437
26-01-2020,20.07,0.57,55.97,705.98,168.98,438
27-01-2020,21.69,0.8,56.59,702.73,166.21,439
28-01-2020,21.46,0.85,61.56,702.62,161.15,440
29-01-2020,19.9,1.29,54.51,706.77,162.27,441
30-01-2020,17.32,1.26,59.83,708.11,164.16,442
31-01-2020,17.43,0.87,52.42,706.08,181.31,443
01-02-2020,18.19,1.06,47.75,707.73,172.92,727
02-02-2020,18.09,1.15,46.68,709.34,183.17,728
03-02-2020,18.76,0.96,53.15,707.92,177.03,729
04-02-2020,20,0.95,59.2,705.55,175.91,730
05-02-2020,19.21,1.04,62.18,706.69,179.22,731
06-02-2020,19.9,1.07,56.2,705.57,180.07,732
07-02-2020,19,1.49,59.58,706.91,189.47,733
08-02-2020,17.71,1.66,55.26,709.88,192.81,734
09-02-2020,17.71,1.18,47.95,710.58,197.27,735
10-02-2020,19.08,0.81,48.41,708.96,192.62,736
11-02-2020,20.84,0.79,47.81,709.01,186.76,737
12-02-2020,22.04,0.65,52.97,709.98,185.46,738
13-02-2020,23.04,0.62,54.89,708.29,182.03,739
14-02-2020,23.39,0.83,50.28,705.75,183.96,740
