Site;Time;TempOut [K];DewPt [K];WindSpeed [m/s];SolarRad [kJ/m²];P_gen [kW];unique_id
Forest Road;2014-05-31 22:00:00;287.55;282.35;0;0.0;0.0;11.0
Forest Road;2014-05-31 23:00:00;287.45;282.45;0;0.0;0.0;11.0
Forest Road;2014-06-01 00:00:00;287.35;282.95;0;0.0;0.0;11.0
Forest Road;2014-06-01 01:00:00;287.35;283.05;0;0.0;0.0;11.0
Forest Road;2014-06-01 02:00:00;287.35;282.95;0;0.0;0.0;11.0
Forest Road;2014-06-01 03:00:00;286.85;283.05;0;0.0;0.0;11.0
Forest Road;2014-06-01 04:00:00;286.55;283.35;0;0.0;0.0;11.0
Forest Road;2014-06-01 05:00:00;286.45;283.65;0;1.8;0.011673151750972763;11.0
Forest Road;2014-06-01 06:00:00;286.45;283.85;0;52.2;0.042801556420233464;11.0
Forest Road;2014-06-01 07:00:00;286.45;283.65;0;115.2;0.1284046692607004;11.0
Forest Road;2014-06-01 08:00:00;287.55;283.65;1;140.4;0.3229571984435798;11.0
Forest Road;2014-06-01 09:00:00;288.45;283.65;1;167.4;0.49027237354085607;11.0
Forest Road;2014-06-01 10:00:00;289.95;282.85;1;927.0;0.7159533073929962;11.0
Forest Road;2014-06-01 11:00:00;290.95;282.05;2;1362.6;0.7198443579766538;11.0
Forest Road;2014-06-01 12:00:00;292.05;282.05;1;1062.0;0.7665369649805448;11.0
Forest Road;2014-06-01 13:00:00;293.25;282.25;1;1202.4;0.6264591439688717;11.0
Forest Road;2014-06-01 14:00:00;293.35;282.25;1;948.6;0.7587548638132297;11.0
Forest Road;2014-06-01 15:00:00;291.95;284.45;2;633.6;0.6964980544747083;11.0
Forest Road;2014-06-01 16:00:00;293.45;284.35;1;968.4;0.5136186770428016;11.0
Forest Road;2014-06-01 17:00:00;293.05;284.35;1;950.4;0.5680933852140078;11.0
Forest Road;2014-06-01 18:00:00;293.15;284.35;1;691.2;0.3229571984435798;11.0
Forest Road;2014-06-01 19:00:00;293.25;283.05;0;415.8;0.09727626459143969;11.0
Forest Road;2014-06-01 20:00:00;291.85;282.35;0;106.2;0.015564202334630352;11.0
