;station_id;from_date;to_date;height;latitude;longitude;name;state
0;00183;1981-01-01 00:00:00+00:00;2022-01-31 00:00:00+00:00;42.0;54.6791;13.4344;Arkona;Mecklenburg-Vorpommern
1;00656;1957-01-01 00:00:00+00:00;2000-07-31 00:00:00+00:00;607.0;51.7234;10.6021;Braunlage;Niedersachsen
2;00662;1958-01-01 00:00:00+00:00;2022-01-31 00:00:00+00:00;81.0;52.2915;10.4464;Braunschweig;Niedersachsen
3;00691;2009-01-01 00:00:00+00:00;2022-01-31 00:00:00+00:00;4.0;53.0451;8.7981;Bremen;Bremen
4;00853;1981-01-01 00:00:00+00:00;2022-01-31 00:00:00+00:00;416.0;50.7913;12.872;Chemnitz;Sachsen
5;00867;2021-01-01 00:00:00+00:00;2022-01-31 00:00:00+00:00;344.0;50.3066;10.9679;Lautertal-Oberlauter;Bayern
6;01048;1996-09-01 00:00:00+00:00;2022-01-31 00:00:00+00:00;228.0;51.1278;13.7543;Dresden-Klotzsche;Sachsen
7;01358;1958-01-01 00:00:00+00:00;2022-01-31 00:00:00+00:00;1213.0;50.4283;12.9536;Fichtelberg;Sachsen
8;01443;1973-01-01 00:00:00+00:00;2015-01-31 00:00:00+00:00;237.0;48.0232;7.8343;Freiburg;Baden-Württemberg
9;01580;1976-01-01 00:00:00+00:00;2013-12-31 00:00:00+00:00;110.0;49.9859;7.9548;Geisenheim;Hessen
10;01594;1974-01-01 00:00:00+00:00;1990-12-31 00:00:00+00:00;44.0;51.5068;7.0945;Gelsenkirchen;Nordrhein-Westfalen
11;01684;2001-01-01 00:00:00+00:00;2022-01-31 00:00:00+00:00;239.0;51.1621;14.9506;Görlitz;Sachsen
12;01957;1981-01-01 00:00:00+00:00;2015-01-31 00:00:00+00:00;93.0;51.5138;11.9499;Halle-Kröllwitz;Sachsen-Anhalt
13;01975;2005-01-01 00:00:00+00:00;2022-01-31 00:00:00+00:00;11.0;53.6332;9.9881;Hamburg-Fuhlsbüttel;Hamburg
14;02290;1953-01-01 00:00:00+00:00;2022-01-31 00:00:00+00:00;977.0;47.8009;11.0108;Hohenpeißenberg;Bayern
